ObjectID,ROS Number,Lifeboat Station,AIC,Year,Lifeboat Class,Lifeboat Number,RoS Type,Casualty Category,Casualty Type,Reason for launch,Outcome,Visibility at incident,Weather at incident,Sea conditions at incident,Wind direction at incident,Visibility at launch,Weather at launch,Sea conditions at launch,Wind direction at launch,Arrived on scene?,x,y,Date of launch,Time of launch,Date time of launch,x2,y2
134179,LBI05622/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Unknown person,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,225,GOOD ,PART CLOUDY, SLIGHT,225,Yes,-2.80167,49.75743,2023-07-25,19:31:00,7/25/2023 6:31:00 PM,-2.80167,49.75743
134198,LBI02601/2021,St Peter Port,Commercial fishing,2021,SEVERN,ON1203,ALB,COMMERCIAL,Commercial fishing,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, CALM,225,GOOD ,CLEAR SKIES, CALM,225,Yes,-3.24737,49.73032,2021-05-27,09:04:00,5/27/2021 8:04:00 AM,-3.24737,49.73032
134202,LBI01677/2024,St Peter Port,Unknown person,2024,SEVERN,ON1279,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,FAIR ,PART CLOUDY, ROUGH,180,FAIR ,PART CLOUDY, ROUGH,180,Yes,-2.20034,49.72504,2024-04-07,22:26:00,4/7/2024 9:26:00 PM,-2.20034,49.72504
134204,LBI00475/2023,St Peter Port,Unknown person,2023,SEVERN,ON1203,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,90,GOOD ,CLEAR SKIES, SMOOTH,90,Yes,-2.19106,49.72486,2023-02-06,17:07:00,2/6/2023 5:07:00 PM,-2.19106,49.72486
134205,LBI03958/2023,St Peter Port,Unknown person,2023,SEVERN,ON1203,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,POOR ,FOG, SLIGHT,135,POOR ,FOG, SLIGHT,135,Yes,-2.20059,49.72469,2023-06-19,11:04:00,6/19/2023 10:04:00 AM,-2.20059,49.72469
134206,LBI02097/2024,St Peter Port,Unknown person,2024,SEVERN,ON1279,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,,GOOD ,CLEAR SKIES, SLIGHT,NULL,Yes,-2.2006,49.72435,2024-04-24,19:14:00,4/24/2024 6:14:00 PM,-2.2006,49.72435
134207,LBI01116/2024,St Peter Port,Unknown person,2024,SEVERN,ON1279,ALB,PEOPLE,Unknown person,Injured/ill,Rendered assistance,FAIR ,CLEAR SKIES, MOD/CHOP,270,FAIR ,CLEAR SKIES, MOD/CHOP,270,Yes,-2.20063,49.72424,2024-03-11,18:48:00,3/11/2024 6:48:00 PM,-2.20063,49.72424
134210,LBI06863/2020,St Peter Port,Motorboat,2020,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,270,GOOD ,PART CLOUDY, SLIGHT,270,Yes,-2.88565,49.71857,2020-09-07,09:47:00,9/7/2020 8:47:00 AM,-2.88565,49.71857
134226,LBI08778/2023,St Peter Port,Motorboat,2023,SEVERN,ON1203,ALB,LEISURE,Motorboat,Machinery/equipment failure,Rendered assistance,POOR ,FOG, SLIGHT,135,POOR ,FOG, SLIGHT,135,Yes,-2.44917,49.65447,2023-10-02,13:13:00,10/2/2023 12:13:00 PM,-2.44917,49.65447
134229,LBI05813/2020,St Peter Port,Sailing vessel,2020,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,GOOD ,PART CLOUDY, SLIGHT,225,GOOD ,PART CLOUDY, SLIGHT,225,Yes,-2.62782,49.65107,2020-08-18,08:32:00,8/18/2020 7:32:00 AM,-2.62782,49.65107
134232,LBI02665/2022,St Peter Port,Commercial fishing,2022,SEVERN,ON1203,ALB,COMMERCIAL,Commercial fishing,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SLIGHT,315,GOOD ,CLEAR SKIES, SLIGHT,315,Yes,-2.75678,49.64772,2022-05-19,12:24:00,5/19/2022 11:24:00 AM,-2.75678,49.64772
134240,LBI05371/2022,St Peter Port,Sailing vessel,2022,SEVERN,ON1203,ALB,LEISURE,Sailing vessel,Machinery/equipment failure,Rendered assistance,GOOD ,CLEAR SKIES, SMOOTH,0,GOOD ,CLEAR SKIES, SMOOTH,0,Yes,-2.735,49.59533,2022-07-22,23:06:00,7/22/2022 10:06:00 PM,-2.735,49.59533
